MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,LanguageHaveWorkedWith,AISearchHaveWorkedWith,AIDevHaveWorkedWith,WorkExp,Industry,ConvertedCompYearly
,25-34 years old,,Remote,,18,9,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,United States of America,HTML/CSS;JavaScript;Python,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",285000.0
,35-44 years old,,Remote,,4,3,"Developer, full-stack","1,000 to 4,999 employees",United States of America,Ada;Clojure;Elixir;Go;HTML/CSS;Java;JavaScript;Lisp;OCaml;Raku;Ruby;Scala;Swift;TypeScript;Zig,ChatGPT,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",135000.0
,25-34 years old,,Remote,,5,3,"Developer, full-stack",10 to 19 employees,United States of America,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,5.0,Financial Services,80000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,15,10,"Developer, back-end",100 to 499 employees,Germany,Bash/Shell (all shells);Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,15.0,"Manufacturing, Transportation, or Supply Chain",107090.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,11,6,"Developer, front-end",500 to 999 employees,France,HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,6.0,Retail and Consumer Services,58899.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,24,14,"Developer, full-stack",20 to 99 employees,Germany,Java;JavaScript;TypeScript,ChatGPT;Phind,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",75010.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,3,2,System administrator,100 to 499 employees,United States of America,HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,2.0,"Manufacturing, Transportation, or Supply Chain",63000.0
,35-44 years old,,Remote,,22,14,"Developer, front-end",100 to 499 employees,Argentina,HTML/CSS;JavaScript;TypeScript,ChatGPT,Tabnine,14.0,"Information Services, IT, Software Development, or other Technology",98000.0
,25-34 years old,,Remote,,8,4,"Developer, full-stack",2 to 9 employees,Serbia,JavaScript;TypeScript,ChatGPT,GitHub Copilot,5.0,Legal Services,105000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,5,2,Academic researcher,"1,000 to 4,999 employees",Egypt,C#;C++;HTML/CSS;JavaScript;MATLAB;R,ChatGPT,GitHub Copilot,5.0,Higher Education,7000.0
,35-44 years old,,In-person,,20,14,"Developer, full-stack","1,000 to 4,999 employees",Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,17.0,Healthcare,24345.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,18,15,"Developer, front-end",100 to 499 employees,Latvia,C#;HTML/CSS;JavaScript;Swift,ChatGPT;WolframAlpha,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",53545.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,6,"Developer, full-stack",20 to 99 employees,Germany,Dart;HTML/CSS;Java;TypeScript,ChatGPT,AWS CodeWhisperer;GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",85672.0
